Year,Fuel,Flow_type,Primary_group,Subgroup,Category,Aggregate_type,Unit,Energy,Row
2023,Manufactured fuel,"Textiles, leather etc",Demand,Final consumption,Industry,value,ktoe,0.0,46
2023,Manufactured fuel,"Paper, printing etc",Demand,Final consumption,Industry,value,ktoe,0.0,47
2023,Manufactured fuel,Other industries,Demand,Final consumption,Industry,value,ktoe,0.0,48
2023,Manufactured fuel,Construction,Demand,Final consumption,Industry,value,ktoe,0.0,49
2023,Manufactured fuel,Transport,Demand,Final consumption,Transport,sum,ktoe,0.0,50
2023,Manufactured fuel,Air,Demand,Final consumption,Transport,value,ktoe,0.0,51
2023,Manufactured fuel,Rail,Demand,Final consumption,Transport,value,ktoe,0.0,52
2023,Manufactured fuel,Road,Demand,Final consumption,Transport,value,ktoe,0.0,53
2023,Manufactured fuel,National navigation,Demand,Final consumption,Transport,value,ktoe,0.0,54
2023,Manufactured fuel,Pipelines,Demand,Final consumption,Transport,value,ktoe,0.0,55
2023,Manufactured fuel,Other,Demand,Final consumption,Other final users,sum,ktoe,127.42,56
2023,Manufactured fuel,Domestic,Demand,Final consumption,Other final users,value,ktoe,127.42,57
2023,Manufactured fuel,Public administration,Demand,Final consumption,Other final users,value,ktoe,0.0,58
2023,Manufactured fuel,Commercial,Demand,Final consumption,Other final users,value,ktoe,0.0,59
2023,Manufactured fuel,Agriculture,Demand,Final consumption,Other final users,value,ktoe,0.0,60
2023,Manufactured fuel,Miscellaneous,Demand,Final consumption,Other final users,value,ktoe,0.0,61
2023,Manufactured fuel,Non energy use,Demand,Final consumption,,value,ktoe,26.08,62
2023,Natural gas,Production,Supply,,,value,ktoe,32924.17,5
2023,Natural gas,Imports,Supply,,,value,ktoe,42555.35,6
2023,Natural gas,Exports,Supply,,,value,ktoe,-15098.09,7
2023,Natural gas,Marine bunkers,Supply,,,value,ktoe,0.0,8
2023,Natural gas,Stock change,Supply,,,value,ktoe,-577.36,9
2023,Natural gas,Total supply,Supply,,,sum,ktoe,59804.07,10
2023,Natural gas,Statistical difference,Statistical difference,,,value,ktoe,131.93,11
2023,Natural gas,Total demand,Demand,,,sum,ktoe,59672.14,12
2023,Natural gas,Transfers,Demand,,,value,ktoe,622.48,13
2023,Natural gas,Transformation,Demand,Transformation,,sum,ktoe,-19978.58,14
2023,Natural gas,Electricity generation,Demand,Transformation,Electricity generation,sum,ktoe,-17705.14,15
2023,Natural gas,Major power producers,Demand,Transformation,Electricity generation,value,ktoe,-15567.47,16
2023,Natural gas,Autogenerators,Demand,Transformation,Electricity generation,value,ktoe,-2137.67,17
2023,Natural gas,Heat generation,Demand,Transformation,,value,ktoe,-2273.44,18
2023,Natural gas,Petroleum refineries,Demand,Transformation,,value,ktoe,0.0,19
2023,Natural gas,Coke manufacture,Demand,Transformation,,value,ktoe,0.0,20
2023,Natural gas,Blast furnaces,Demand,Transformation,,value,ktoe,0.0,21
2023,Natural gas,Patent fuel manufacture,Demand,Transformation,,value,ktoe,0.0,22
2023,Natural gas,Other,Demand,Transformation,,value,ktoe,0.0,23
2023,Natural gas,Energy industry use,Demand,Energy industry use,,sum,ktoe,4262.93,24
2023,Natural gas,Electricity generation,Demand,Energy industry use,,value,ktoe,0.0,25
2023,Natural gas,Oil and gas extraction,Demand,Energy industry use,,value,ktoe,3566.96,26
2023,Natural gas,Petroleum refineries,Demand,Energy industry use,,value,ktoe,225.41,27
2023,Natural gas,Coal extraction,Demand,Energy industry use,,value,ktoe,4.13,28
2023,Natural gas,Coke manufacture,Demand,Energy industry use,,value,ktoe,0.69,29
2023,Natural gas,Blast furnaces,Demand,Energy industry use,,value,ktoe,35.09,30
2023,Natural gas,Patent fuel manufacture,Demand,Energy industry use,,value,ktoe,0.0,31
2023,Natural gas,Pumped storage,Demand,Energy industry use,,value,ktoe,0.0,32
2023,Natural gas,Other,Demand,Energy industry use,,value,ktoe,430.65,33
2023,Natural gas,Losses,Demand,,,value,ktoe,423.15,34
2023,Natural gas,Final consumption,Demand,Final consumption,,sum,ktoe,35629.96,35
2023,Natural gas,Industry,Demand,Final consumption,Industry,sum,ktoe,7504.22,36
2023,Natural gas,Unclassified,Demand,Final consumption,Industry,value,ktoe,8.55,37
2023,Natural gas,Iron and steel,Demand,Final consumption,Industry,value,ktoe,443.28,38
2023,Natural gas,Non-ferrous metals,Demand,Final consumption,Industry,value,ktoe,229.85,39
2023,Natural gas,Mineral products,Demand,Final consumption,Industry,value,ktoe,1070.51,40
2023,Natural gas,Chemicals,Demand,Final consumption,Industry,value,ktoe,1249.72,41
2023,Natural gas,Mechanical engineering etc,Demand,Final consumption,Industry,value,ktoe,750.25,42
2023,Natural gas,Electrical engineering etc,Demand,Final consumption,Industry,value,ktoe,259.96,43
2023,Natural gas,Vehicles,Demand,Final consumption,Industry,value,ktoe,385.64,44
2023,Natural gas,"Food, beverages etc",Demand,Final consumption,Industry,value,ktoe,1530.58,45
